epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,800.203,0.97578,0.65501,1.16746,0.9046,0.84403,0.91309,0.67025,0.96679,0.65241,1.18469,0.000742625,0.000742625,0.000742625
43,818.719,0.97628,0.65105,1.17905,0.90448,0.8273,0.90816,0.64448,1.04199,0.65534,1.2136,0.00073025,0.00073025,0.00073025
44,838.248,0.9868,0.64013,1.16828,0.86644,0.84812,0.89831,0.6393,1.04122,0.671,1.2044,0.000717875,0.000717875,0.000717875
45,856.932,0.95392,0.6173,1.14946,0.93794,0.84461,0.93164,0.68158,0.95653,0.5858,1.18121,0.0007055,0.0007055,0.0007055
46,876.237,0.94571,0.61621,1.15551,0.91395,0.8509,0.91784,0.65398,0.97893,0.64651,1.19142,0.000693125,0.000693125,0.000693125
47,894.941,0.93178,0.61868,1.14917,0.92826,0.8586,0.91379,0.67902,0.96597,0.60016,1.14417,0.00068075,0.00068075,0.00068075
48,914.524,0.94288,0.61819,1.15102,0.9092,0.80452,0.90697,0.64592,1.12059,0.61447,1.25828,0.000668375,0.000668375,0.000668375
49,933.128,0.94967,0.6184,1.15578,0.94079,0.8451,0.93786,0.67669,0.95343,0.57708,1.18295,0.000656,0.000656,0.000656
50,952.062,0.96515,0.62044,1.16385,0.90478,0.86186,0.92753,0.66879,0.99755,0.59386,1.20744,0.000643625,0.000643625,0.000643625
51,970.876,0.9119,0.57261,1.12913,0.92903,0.84042,0.92098,0.65911,1.03871,0.63637,1.21905,0.00063125,0.00063125,0.00063125
52,990.004,0.87927,0.57153,1.11144,0.89476,0.84547,0.92309,0.64878,1.00568,0.59384,1.21235,0.000618875,0.000618875,0.000618875
53,1009.07,0.90304,0.59673,1.13195,0.89875,0.88544,0.92556,0.67035,1.0084,0.60973,1.19765,0.0006065,0.0006065,0.0006065
54,1028.11,0.86679,0.56459,1.10458,0.9428,0.84927,0.92776,0.67503,0.98138,0.59037,1.1612,0.000594125,0.000594125,0.000594125
55,1046.86,0.88118,0.5661,1.11366,0.93369,0.86151,0.93103,0.69166,0.92401,0.54932,1.14147,0.00058175,0.00058175,0.00058175
56,1066.16,0.882,0.56934,1.11558,0.96074,0.84274,0.95207,0.70921,0.96642,0.55167,1.18111,0.000569375,0.000569375,0.000569375
57,1085.21,0.89284,0.57542,1.11851,0.93812,0.86331,0.9291,0.69534,0.93053,0.53823,1.14186,0.000557,0.000557,0.000557
58,1105.63,0.8674,0.56162,1.10523,0.93013,0.89026,0.92163,0.68422,0.96769,0.56474,1.1755,0.000544625,0.000544625,0.000544625
59,1124.4,0.86066,0.54601,1.10949,0.91686,0.88028,0.9398,0.70424,0.98685,0.54623,1.16518,0.00053225,0.00053225,0.00053225
60,1143.69,0.86752,0.55123,1.10744,0.93241,0.8444,0.92885,0.69945,0.94478,0.57685,1.16293,0.000519875,0.000519875,0.000519875
61,1162.4,0.85161,0.54564,1.09397,0.90286,0.87798,0.93121,0.70219,0.92627,0.56157,1.16684,0.0005075,0.0005075,0.0005075
62,1181.51,0.84993,0.53468,1.10814,0.90609,0.89718,0.94489,0.70566,0.94095,0.52872,1.15818,0.000495125,0.000495125,0.000495125
63,1199.91,0.84553,0.54253,1.10536,0.89466,0.87048,0.92389,0.68716,0.94019,0.55051,1.13639,0.00048275,0.00048275,0.00048275
64,1218.82,0.80396,0.51693,1.07269,0.94061,0.85648,0.9233,0.7009,0.95444,0.59181,1.144,0.000470375,0.000470375,0.000470375
65,1237.64,0.82183,0.52548,1.08941,0.93484,0.87436,0.93147,0.71461,0.90442,0.54907,1.15601,0.000458,0.000458,0.000458
66,1256.29,0.81099,0.51122,1.07665,0.94188,0.87392,0.93818,0.7106,0.91835,0.53616,1.14129,0.000445625,0.000445625,0.000445625
67,1275.51,0.78798,0.50812,1.0748,0.95003,0.8739,0.93995,0.71508,0.90997,0.53221,1.12634,0.00043325,0.00043325,0.00043325
68,1294.45,0.79788,0.5124,1.07289,0.9479,0.87967,0.92817,0.70965,0.88913,0.54123,1.11979,0.000420875,0.000420875,0.000420875
69,1313.96,0.78813,0.50244,1.05927,0.92785,0.8641,0.93429,0.70542,0.94161,0.53655,1.14923,0.0004085,0.0004085,0.0004085
70,1332.67,0.78594,0.49333,1.06245,0.89543,0.87109,0.93021,0.70053,0.91489,0.53244,1.11719,0.000396125,0.000396125,0.000396125
